installation_id,Balancing Act,Chicken Balancer (Activity),Chow Time,Crystal Caves - Level 1,Crystal Caves - Level 2,Crystal Caves - Level 3,Egg Dropper (Activity),Happy Camel,"Heavy, Heavier, Heaviest",Honey Cake,Leaf Leader,Lifting Heavy Things,Pan Balance,Cart Balancer (Assessment)_t,num_correct,num_incorrect,accuracy,accuracy_group,Chest Sorter (Assessment)_t
001d0ed0,1,0.0,1.25,1,1,0,0.0,0.98,0,2,0.0,2,0.0,0.35,1,0,1.0,3,0.0
002db7e3,0,3.28,4.45,2,2,1,0.0,1.01,0,1,0.0,2,1.89,0.71,1,0,1.0,3,0.0
003372b0,1,1.49,3.02,1,1,0,0.0,2.47,0,2,0.0,4,0.0,0.5,1,0,1.0,3,0.0
00634433,0,0.0,2.54,1,2,0,0.0,0.0,0,0,0.0,0,0.0,0.51,1,0,1.0,3,0.0
00667b88,0,0.0,0.0,3,4,3,0.0,0.0,0,0,0.0,0,0.0,1.11,1,0,1.0,3,0.0
00a0dbeb,0,0.0,1.81,1,1,0,0.0,0.0,0,0,0.0,0,0.0,1.13,0,6,0.0,0,0.0
00b9d8e6,1,0.0,1.19,1,1,0,0.0,0.0,0,1,0.0,2,0.0,0.3,1,1,0.5,2,0.0
00cef781,7,0.0,3.61,1,0,0,0.0,0.0,0,0,0.0,0,0.0,0.68,1,0,1.0,3,0.0
00e17272,0,0.0,1.51,1,2,1,0.0,0.0,0,0,1.77,0,0.0,0.32,1,0,1.0,3,0.0
00e536bf,0,1.06,1.85,0,1,1,0.0,1.95,0,1,0.0,3,0.0,0.3,1,0,1.0,3,0.0
0155dd86,0,0.0,1.32,1,1,0,0.0,0.0,0,0,0.0,1,0.0,0.57,1,0,1.0,3,0.0
015776b4,0,0.0,3.08,1,1,0,0.0,0.0,0,1,0.0,0,0.0,0.56,1,0,1.0,3,0.0
01582211,0,1.16,2.64,0,1,0,0.0,3.51,0,1,0.0,2,0.0,0.52,1,1,0.5,2,0.0
0160e7c5,0,0.0,3.64,1,0,0,0.0,0.0,0,0,0.0,0,1.8,1.22,1,2,0.333,1,0.0
01bdd720,4,4.05,1.075,1,1,0,0.0,1.84,0,2,0.0,2,0.0,0.57,1,0,1.0,3,0.0
01cc53f3,0,1.66,1.06,1,0,0,0.0,0.0,0,0,0.0,0,0.0,0.49,1,0,1.0,3,0.0
01f71702,1,1.75,3.59,2,2,1,2.09,2.06,0,0,0.0,0,0.0,0.26,1,0,1.0,3,0.0
01faa4bf,0,1.02,1.15,1,1,0,0.0,1.62,0,0,0.0,0,0.0,0.62,1,0,1.0,3,0.0
022183ab,0,0.0,0.0,1,1,0,0.0,0.0,0,0,0.0,0,0.0,1.34,0,2,0.0,0,0.0
0235fe9a,0,1.9,0.0,1,1,0,0.0,1.65,0,1,0.0,0,0.0,0.28,1,0,1.0,3,0.0
027b3c4c,1,0.18,1.22,1,1,0,0.0,1.27,0,1,0.0,1,0.0,0.38,1,0,1.0,3,0.0
02875dc2,0,0.0,0.0,0,1,0,0.0,4.29,0,0,0.0,0,0.0,0.47,1,0,1.0,3,0.0
0293ae74,0,0.0,0.0,1,1,1,0.0,1.77,0,0,1.53,0,0.0,0.44,1,0,1.0,3,0.0
02aa515f,0,0.88,0.0,1,1,0,0.0,0.0,0,0,0.0,0,0.0,1.35,1,0,1.0,3,0.0
02b1fab4,0,0.95,1.48,1,1,0,0.0,1.74,0,0,0.0,0,0.0,0.43,1,0,1.0,3,0.0
02c975bc,2,0.9,1.63,2,3,1,0.0,0.0,0,0,0.0,0,0.0,0.91,1,4,0.2,1,0.0
02cdd48e,0,1.05,3.78,1,1,0,0.0,2.77,0,0,0.0,0,0.0,2.48,1,0,1.0,3,0.0
02cdfffd,1,4.81,2.17,0,1,0,0.0,2.37,0,1,0.0,1,0.0,0.4,1,0,1.0,3,0.0
031af3b8,0,0.0,0.0,1,1,0,0.0,0.0,0,0,0.0,0,0.0,1.6,1,0,1.0,3,0.0
0328fc8f,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,3.16,0,1,0.0,0,0.0
03401e19,0,0.0,0.0,1,1,0,0.0,0.0,0,0,0.0,0,0.0,0.61,1,0,1.0,3,0.0
03560e11,1,1.18,1.16,1,1,0,0.0,1.25,0,1,0.0,1,0.0,0.53,1,0,1.0,3,0.0
03957682,3,2.04,0.0,3,6,4,0.0,0.71,1,4,3.825,0,0.0,0.3,1,0,1.0,3,0.0
039e4ac7,1,2.74,1.725,3,1,0,0.0,1.28,0,0,0.0,0,0.0,0.59,1,0,1.0,3,0.0
03a5b006,0,0.0,0.0,1,1,0,0.0,0.0,0,0,0.0,1,0.0,0.78,1,0,1.0,3,0.0
03d15b59,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.51,1,0,1.0,3,0.0
03f89040,2,1.63,1.58,2,1,0,0.0,1.79,0,1,0.0,1,0.0,0.48,1,0,1.0,3,0.0
0413ae4a,0,0.0,1.85,2,1,0,0.0,0.0,0,0,0.0,0,0.0,0.5,1,0,1.0,3,0.0
0429e1ff,1,4.7,3.51,2,3,2,2.76,0.0,0,1,0.0,0,0.0,3.11,0,4,0.0,0,0.0
043e7f32,0,0.0,0.0,1,1,0,0.0,0.0,0,0,0.0,0,0.0,0.26,0,1,0.0,0,0.0
04616599,0,0.0,0.0,0,1,0,0.0,0.0,0,0,0.0,0,0.0,0.31,1,1,0.5,2,0.0
046234c2,0,0.0,1.94,1,1,0,0.0,0.0,0,0,0.0,0,0.0,2.18,1,2,0.333,1,0.0
0478b042,0,6.32,0.0,0,1,0,0.0,0.0,0,0,0.0,0,0.0,0.44,1,0,1.0,3,0.0
04963bef,1,1.31,1.39,1,0,0,0.0,0.0,0,0,0.0,0,0.0,0.98,1,1,0.5,2,0.0
04a57775,0,0.96,1.26,0,2,0,0.0,1.28,0,0,0.0,0,0.0,0.24,1,0,1.0,3,0.0
04a5927d,0,5.96,2.22,2,1,0,0.0,0.0,0,0,0.0,1,0.0,0.38,1,0,1.0,3,0.0
04c612fd,1,0.0,1.9,0,1,0,0.0,2.41,0,0,0.0,0,0.0,0.32,1,0,1.0,3,0.0
04de2aae,0,0.0,3.24,0,1,0,0.0,0.0,0,1,0.0,1,0.0,0.39,1,1,0.5,2,0.0
04f8b246,0,0.0,1.93,1,1,0,0.0,1.32,0,0,0.0,0,0.0,0.46,1,0,1.0,3,0.0
05047409,0,0.0,4.5,1,1,0,0.0,0.0,0,0,0.0,0,0.0,0.5,1,0,1.0,3,0.0
