game_session,installation_id,title,num_correct,num_incorrect,accuracy,accuracy_group
6bdf9623adc94d89,0006a69f,Mushroom Sorter (Assessment),1,0,1.0,3
77b8ee947eb84b4e,0006a69f,Bird Measurer (Assessment),0,11,0.0,0
901acc108f55a5a1,0006a69f,Mushroom Sorter (Assessment),1,0,1.0,3
9501794defd84e4d,0006a69f,Mushroom Sorter (Assessment),1,1,0.5,2
a9ef3ecb3d1acc6a,0006a69f,Bird Measurer (Assessment),1,0,1.0,3
957406a905d59afd,0006c192,Bird Measurer (Assessment),1,1,0.5,2
b2297d292892745a,0006c192,Mushroom Sorter (Assessment),0,4,0.0,0
ae691ec5ad5652cf,00129856,Bird Measurer (Assessment),1,0,1.0,3
7b536271e99518f0,001d0ed0,Bird Measurer (Assessment),0,5,0.0,0
c046a858e7c8bf03,001d0ed0,Mushroom Sorter (Assessment),1,1,0.5,2
dc6bc0284039c9fb,001d0ed0,Mushroom Sorter (Assessment),1,0,1.0,3
619b9c069cf790ca,00225f67,Bird Measurer (Assessment),0,2,0.0,0
03e73cfb40d8d204,002db7e3,Mushroom Sorter (Assessment),1,1,0.5,2
1c48bdca76efc7b0,002db7e3,Mushroom Sorter (Assessment),1,0,1.0,3
5025f22d6e944533,002db7e3,Bird Measurer (Assessment),1,4,0.2,1
8f50f2fd987cade4,002db7e3,Bird Measurer (Assessment),1,1,0.5,2
cace4c493ac347e3,002db7e3,Bird Measurer (Assessment),1,10,0.09090909090909093,1
28113cd58d865372,003372b0,Bird Measurer (Assessment),1,1,0.5,2
631971b2efa19b8d,003372b0,Mushroom Sorter (Assessment),1,0,1.0,3
343206b33bfa7941,004c2091,Bird Measurer (Assessment),0,1,0.0,0
4e446ee715d1bd94,004c2091,Bird Measurer (Assessment),0,1,0.0,0
01d44d1b32c3da7f,00691033,Mushroom Sorter (Assessment),0,3,0.0,0
57e99afbe299eee7,00691033,Bird Measurer (Assessment),0,7,0.0,0
6356ad12dfc4be2f,00691033,Mushroom Sorter (Assessment),0,6,0.0,0
9d2a83e6be787757,00691033,Bird Measurer (Assessment),1,2,0.3333333333333333,1
a4060f56e5b8b57b,00691033,Bird Measurer (Assessment),0,7,0.0,0
f76ce167ea7e64ac,00691033,Bird Measurer (Assessment),0,8,0.0,0
4adfc08b1da953b0,00a53963,Mushroom Sorter (Assessment),1,0,1.0,3
6c8fab7964639f37,00e17272,Bird Measurer (Assessment),1,1,0.5,2
b1fa320f360a5df7,00e17272,Mushroom Sorter (Assessment),1,0,1.0,3
06e4408045163fdd,00e536bf,Bird Measurer (Assessment),1,2,0.3333333333333333,1
2eafd59d5ecf1b1e,00fa8681,Bird Measurer (Assessment),1,2,0.3333333333333333,1
b4b25b2c4f2b6ada,00fa8681,Mushroom Sorter (Assessment),1,0,1.0,3
469b3ff25bf7824f,00fc65b6,Bird Measurer (Assessment),1,0,1.0,3
71190e29b29e7488,00fc65b6,Mushroom Sorter (Assessment),1,0,1.0,3
49f65396b901366f,010bc1d5,Bird Measurer (Assessment),0,2,0.0,0
77c0ffc58b95748a,010bc1d5,Mushroom Sorter (Assessment),1,0,1.0,3
f5fea737ce83acc6,01120f12,Bird Measurer (Assessment),0,2,0.0,0
65f9c6e01c6865d3,0153c957,Bird Measurer (Assessment),0,6,0.0,0
ab3a4c946cc5d51d,015776b4,Mushroom Sorter (Assessment),0,1,0.0,0
39f3e52339d99ca2,01825124,Bird Measurer (Assessment),1,0,1.0,3
77023c0a71fe835e,01825124,Mushroom Sorter (Assessment),1,4,0.2,1
f8de7f9f1baedba3,01825124,Bird Measurer (Assessment),1,3,0.25,1
00097cda27afb726,01bdd720,Mushroom Sorter (Assessment),1,0,1.0,3
2cbd37f1442b2b80,01bdd720,Bird Measurer (Assessment),1,0,1.0,3
bb3738392f5a4ae0,01d5e1f5,Bird Measurer (Assessment),0,1,0.0,0
9868ede08f01d6f6,01f71702,Mushroom Sorter (Assessment),1,0,1.0,3
ccd4bb61d0b2efd3,01f71702,Bird Measurer (Assessment),1,0,1.0,3
d365ff77f064a4b3,01f71702,Bird Measurer (Assessment),1,1,0.5,2
09c766b97c48a6c8,01faa4bf,Bird Measurer (Assessment),1,0,1.0,3
23ab90d32ab5975a,01faa4bf,Mushroom Sorter (Assessment),1,0,1.0,3
2dfc04be1cb9fe3b,022183ab,Mushroom Sorter (Assessment),1,0,1.0,3
916b951016dac5c8,022183ab,Bird Measurer (Assessment),0,6,0.0,0
b6b0b6c34f6097b6,022183ab,Mushroom Sorter (Assessment),0,1,0.0,0
d2299459fdf4b2ff,022183ab,Bird Measurer (Assessment),0,3,0.0,0
d90ea42f0b1a0d4a,022183ab,Mushroom Sorter (Assessment),1,2,0.3333333333333333,1
1150402fda276e9e,0235fe9a,Mushroom Sorter (Assessment),0,2,0.0,0
58e820059c76e308,023c4bcb,Mushroom Sorter (Assessment),1,0,1.0,3
c9a1277e14729cf2,023c4bcb,Mushroom Sorter (Assessment),1,0,1.0,3
c97dc799500a71c5,026035e9,Mushroom Sorter (Assessment),1,0,1.0,3
cc3ca237b6ef9cc8,026e3733,Mushroom Sorter (Assessment),1,0,1.0,3
64ca884781c9c764,0281f6bf,Mushroom Sorter (Assessment),1,1,0.5,2
a5a86ac93032f84e,0281f6bf,Bird Measurer (Assessment),0,9,0.0,0
58fc97ef3490dc88,0293ae74,Mushroom Sorter (Assessment),1,1,0.5,2
68311bca12c85522,0293ae74,Bird Measurer (Assessment),1,3,0.25,1
6a099afa007b0d4a,0293ae74,Mushroom Sorter (Assessment),1,1,0.5,2
b5a9bef83f89b4ba,02aa515f,Bird Measurer (Assessment),1,6,0.14285714285714285,1
094e1b8a5460b027,02b1fab4,Bird Measurer (Assessment),1,0,1.0,3
0f162fdab2e2c86c,02b1fab4,Bird Measurer (Assessment),1,0,1.0,3
1593e825018cafe7,02b1fab4,Mushroom Sorter (Assessment),1,0,1.0,3
1dd4c241487c453f,02b1fab4,Mushroom Sorter (Assessment),1,0,1.0,3
27fcd3d60d786fae,02c975bc,Mushroom Sorter (Assessment),1,0,1.0,3
